Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
GPR,test,1,0.47,0.16,0.13,0.53,150.72,52.47,41.63,0.36
GPR,train,1,0.47,0.16,0.13,4370112568753.42,151.89,50.79,40.80,0.36
RF,test,1,0.41,0.17,0.14,0.61,132.54,55.47,44.81,0.40
RF,train,1,0.31,0.11,0.09,2581405119315.01,100.46,34.19,27.36,0.24
SVR,test,1,0.46,0.17,0.14,0.58,147.30,55.95,45.02,0.38
SVR,train,1,0.50,0.17,0.13,4633597335836.71,159.53,53.60,43.11,0.38
GBR,test,1,0.40,0.17,0.14,0.65,129.72,54.47,45.30,0.42
GBR,train,1,0.40,0.15,0.12,3449345572131.90,127.64,47.52,39.97,0.37
GPR,test,2,0.62,0.19,0.15,0.56,198.46,60.50,46.61,0.38
GPR,train,2,0.44,0.12,0.09,4510515942760.22,141.30,37.61,28.45,0.26
RF,test,2,0.41,0.16,0.13,0.52,131.51,51.04,41.43,0.34
RF,train,2,0.36,0.11,0.09,2246742998508.92,115.27,36.09,28.80,0.25
SVR,test,2,0.41,0.15,0.12,0.48,130.45,48.97,38.22,0.31
SVR,train,2,0.48,0.17,0.14,4659773870540.13,153.58,55.35,44.50,0.39
GBR,test,2,0.43,0.16,0.13,0.56,137.50,52.35,41.75,0.35
GBR,train,2,0.41,0.15,0.12,3350826079049.23,130.18,47.56,40.05,0.37
GPR,test,3,0.52,0.20,0.17,0.71,165.66,64.79,54.26,0.47
GPR,train,3,0.47,0.15,0.12,4052806638800.16,149.35,47.54,37.80,0.34
RF,test,3,0.45,0.20,0.17,0.71,144.58,65.50,55.13,0.47
RF,train,3,0.33,0.10,0.08,2548359232767.33,105.70,33.37,26.34,0.23
SVR,test,3,0.45,0.19,0.16,0.69,144.89,60.24,50.32,0.45
SVR,train,3,0.49,0.16,0.13,4504084591767.49,155.99,52.79,42.48,0.38
GBR,test,3,0.41,0.21,0.18,0.75,131.49,65.92,56.93,0.50
GBR,train,3,0.40,0.14,0.12,3445119480647.92,128.52,45.52,37.28,0.35
GPR,test,4,0.46,0.16,0.13,0.51,146.88,51.43,41.17,0.31
GPR,train,4,0.46,0.16,0.12,4027340882509.40,148.83,49.89,39.84,0.36
RF,test,4,0.40,0.18,0.14,0.57,129.22,56.35,46.25,0.36
RF,train,4,0.34,0.11,0.09,1882719997550.10,110.27,35.07,27.72,0.24
SVR,test,4,0.41,0.17,0.14,0.54,132.01,53.37,43.55,0.32
SVR,train,4,0.52,0.17,0.14,4427647573611.54,165.91,54.11,43.44,0.39
GBR,test,4,0.45,0.18,0.15,0.66,143.83,57.23,48.21,0.39
GBR,train,4,0.43,0.15,0.12,3155303995505.11,138.96,46.74,38.79,0.36
GPR,test,5,0.45,0.18,0.14,21516074325979.54,144.83,57.67,45.70,0.42
GPR,train,5,0.46,0.15,0.12,0.53,148.30,48.16,38.32,0.34
RF,test,5,0.54,0.19,0.15,20029834154781.06,173.51,59.80,48.57,0.45
RF,train,5,0.34,0.11,0.09,0.38,108.33,35.11,28.04,0.24
SVR,test,5,0.41,0.17,0.13,23667654232472.02,131.96,55.07,43.30,0.41
SVR,train,5,0.48,0.17,0.14,0.59,155.13,53.76,43.41,0.38
GBR,test,5,0.49,0.18,0.15,17942300697058.84,157.35,59.23,49.30,0.46
GBR,train,5,0.39,0.15,0.12,0.59,126.44,47.32,39.86,0.36
GPR,test,6,0.50,0.18,0.15,0.74,159.69,57.58,46.77,0.47
GPR,train,6,0.50,0.16,0.12,4524187812304.39,161.54,49.93,39.81,0.35
RF,test,6,0.49,0.17,0.14,0.73,156.26,55.41,45.45,0.46
RF,train,6,0.33,0.11,0.09,2805290075208.55,106.49,35.10,27.95,0.24
SVR,test,6,0.47,0.18,0.15,0.78,151.26,59.16,48.62,0.49
SVR,train,6,0.48,0.16,0.13,4686826169154.84,154.10,52.93,42.40,0.37
GBR,test,6,0.52,0.18,0.15,0.77,166.56,56.49,46.93,0.48
GBR,train,6,0.44,0.15,0.12,3567032983223.24,140.64,47.06,39.31,0.36
